nconst,first,last,Rank,category,MOVIE1,MOVIE2,MOVIE3,MOVIE4,MOVIE5
,,,1,DOCUMENTARY,Won't You Be My Neighbor?,,,,
nm0144203,Jay,Cassidy,1,EDITOR,A Star Is Born,,,,
nm1651766,Debbie,Berman,1,EDITOR,Black Panther,,,,
nm4019350,Michael P.,Shawver,1,EDITOR,Black Panther,,,,
nm0113084,Barry Alexander,Brown,1,EDITOR,BlacKkKlansman,,,,
nm0189285,Tom,Cross,1,EDITOR,First Man,,,,
nm0004011,Patrick J. Don,Vito,1,EDITOR,Green Book,,,,
nm1477623,Nat,Sanders,1,EDITOR,If Beale Street Could Talk,,,,
nm1536314,Joi,McMillon,1,EDITOR,If Beale Street Could Talk,,,,
nm2366329,Adam,Gough,1,EDITOR,Roma,,,,
nm0561430,Yorgos,Mavropsaridis,1,EDITOR,The Favourite,,,,
nm3712374,Stefan,Grube,1,EDITOR,Tully,The Front Runner,,,
nm0181650,Hank,Corwin,1,EDITOR,Vice,,,,
nm0907863,Joe,Walker,1,EDITOR,Widows,,,,
nm0653211,John,Ottman,1,EDITOR;SCORE,Bohemian Rhapsody,,,,
,,,1,FOREIGN,Birds of Passage,,,,
,,,1,FOREIGN,Border,,,,
,,,1,FOREIGN,Capernaum,,,,
,,,1,FOREIGN,Cold War,,,,
,,,1,FOREIGN,Dogman,,,,
,,,1,FOREIGN,Donbass,,,,
,,,1,FOREIGN,Everybody Knows,,,,
,,,1,FOREIGN,Girl,,,,
,,,1,FOREIGN,I Am Not a Witch,,,,
,,,1,FOREIGN,Roma,,,,
,,,1,FOREIGN,Shoplifters,,,,
,,,1,FOREIGN,Sunset,,,,
,,,1,FOREIGN,The Guilty,,,,
,,,1,MAKEUP,A Wrinkle in Time,,,,
,,,1,MAKEUP,Black Panther,,,,
,,,1,MAKEUP,BlacKkKlansman,,,,
,,,1,MAKEUP,Bohemian Rhapsody,,,,
,,,1,MAKEUP,Colette,,,,
,,,1,MAKEUP,Deadpool 2,,,,
,,,1,MAKEUP,Fantastic Beasts: The Crimes of Grindelwald,,,,
,,,1,MAKEUP,Mary Poppins Returns,,,,
,,,1,MAKEUP,Mary Queen of Scots,,,,
,,,1,MAKEUP,Peterloo,,,,
,,,1,MAKEUP,Solo: A Star Wars Story,,,,
,,,1,MAKEUP,Stan & Ollie,,,,
,,,1,MAKEUP,Uncle Drew,,,,
,,,1,PICTURE,22 July,,,,
,,,1,PICTURE,A Quiet Place,,,,
,,,1,PICTURE,A Star Is Born,,,,
,,,1,PICTURE,At Eternity's Gate,,,,
,,,1,PICTURE,Beautiful Boy,,,,
,,,1,PICTURE,Bird Box,,,,
,,,1,PICTURE,Black Panther,,,,
,,,1,PICTURE,BlacKkKlansman,,,,
,,,1,PICTURE,Bohemian Rhapsody,,,,
,,,1,PICTURE,Boy Erased,,,,
,,,1,PICTURE,Can You Ever Forgive Me?,,,,
,,,1,PICTURE,Crazy Rich Asians,,,,
,,,1,PICTURE,Destroyer,,,,
,,,1,PICTURE,Eighth Grade,,,,
,,,1,PICTURE,First Man,,,,
,,,1,PICTURE,First Reformed,,,,
,,,1,PICTURE,Green Book,,,,
,,,1,PICTURE,Hereditary,,,,
,,,1,PICTURE,If Beale Street Could Talk,,,,
,,,1,PICTURE,Leave No Trace,,,,
,,,1,PICTURE,Mary Poppins Returns,,,,
,,,1,PICTURE,Mary Queen of Scots,,,,
,,,1,PICTURE,On the Basis of Sex,,,,
,,,1,PICTURE,The Ballad of Buster Scruggs,,,,
,,,1,PICTURE,The Death of Stalin,,,,
,,,1,PICTURE,The Favourite,,,,
,,,1,PICTURE,The Front Runner,,,,
,,,1,PICTURE,The Old Man & the Gun,,,,
,,,1,PICTURE,The Rider,,,,
,,,1,PICTURE,The Sisters Brothers,,,,
,,,1,PICTURE,Vice,,,,
,,,1,PICTURE,Welcome to Marwen,,,,
,,,1,PICTURE,Widows,,,,
nm1667545,Hannah,Beachler,1,PRODUCTION DESIGN,Black Panther,,,,
nm0137528,Michael,Carlin,1,PRODUCTION DESIGN,Colette,,,,
nm0167655,Nelson,Coates,1,PRODUCTION DESIGN,Crazy Rich Asians,Fifty Shades Freed,On the Basis of Sex,,
